,Packet,Voltage Mag,Voltage Angle,Current Mag,Current Angle,Actual Frequency,ROCOF
0,1002.0,191609.99,-74.27,6892.35,-155.48,60.2,-46.84
1,1003.0,197003.83,-75.87,5639.12,-165.08,60.08,-6.46
2,1007.0,195389.94,-75.58,5866.13,-161.75,60.03,1.97
3,1008.0,196603.33,-75.59,5845.5,-164.27,59.94,6.69
4,1010.0,193750.7,-76.04,5570.83,-157.93,59.94,7.69
5,1011.0,192819.99,-74.16,6935.83,-157.7,60.06,-55.48
6,1013.0,196915.0,-75.8,5695.6,-164.9,60.06,-9.0
7,1014.0,195499.15,-75.66,5809.74,-161.95,60.02,1.19
8,1016.0,196353.76,-75.44,5956.94,-163.78,59.94,-6.73
9,1017.0,192416.5,-76.15,5540.99,-154.91,60.0,12.4
10,1019.0,195585.71,-74.38,6732.68,-162.51,59.76,-46.22
11,1020.0,196705.97,-75.7,5762.72,-164.47,60.02,-4.05
12,1022.0,195632.06,-75.66,5805.04,-162.22,60.01,1.21
13,1023.0,196169.01,-75.39,5993.91,-163.42,59.95,-9.31
14,1025.0,191459.51,-76.08,5636.15,-152.98,60.07,17.32
15,1026.0,197479.13,-74.75,6459.82,-165.97,59.61,-35.34
16,1028.0,196568.87,-75.69,5774.79,-164.18,60.02,0.49
17,1029.0,195785.29,-75.67,5797.2,-162.54,60.0,1.07
18,1031.0,195772.38,-75.38,6004.2,-162.62,59.97,-18.06
19,1032.0,189975.54,-75.91,5832.19,-150.21,60.24,21.88
20,1034.0,198831.16,-75.88,5640.64,-169.02,59.86,49.05
21,1035.0,196395.74,-75.62,5829.11,-163.84,60.01,-3.03
22,1037.0,195929.82,-75.65,5806.0,-162.85,60.0,0.22
23,1038.0,195033.09,-75.54,5899.1,-161.04,59.98,-8.74
24,1040.0,189720.17,-75.4,6188.55,-150.58,60.36,17.66
25,1041.0,198263.28,-75.98,5560.37,-167.84,60.0,23.92
26,1045.0,196403.72,-75.62,5829.19,-163.85,60.0,0.35
27,1046.0,196023.54,-75.65,5804.52,-163.05,59.99,0.32
28,1048.0,194300.22,-75.69,5804.09,-159.42,59.98,0.24
29,1049.0,190074.28,-75.0,6447.45,-151.86,60.36,7.52
30,1051.0,197700.0,-75.99,5553.42,-166.6,60.06,18.37
31,1052.0,196368.12,-75.61,5832.77,-163.78,60.0,0.42
32,1054.0,196141.41,-75.64,5815.26,-163.3,59.99,0.27
33,1055.0,193177.79,-75.79,5766.61,-156.98,60.01,10.46
34,1057.0,191330.74,-74.49,6748.61,-154.77,60.29,-14.4
35,1058.0,197266.28,-75.98,5561.79,-165.65,60.1,8.46
36,1060.0,196356.33,-75.61,5831.15,-163.75,60.0,0.64
37,1061.0,196210.91,-75.62,5827.25,-163.45,59.99,-0.3
38,1063.0,193078.43,-75.84,5732.74,-156.71,60.0,8.45
39,1064.0,191626.37,-74.42,6788.78,-155.38,60.24,7.49
40,1066.0,197233.06,-76.1,5473.42,-165.57,60.09,16.19
41,1067.0,196358.77,-75.62,5827.87,-163.76,60.01,0.97
42,1069.0,196278.42,-75.61,5832.16,-163.59,59.99,-0.18
43,1070.0,193397.16,-75.94,5657.02,-157.28,59.98,11.66
44,1072.0,191549.1,-74.39,6807.92,-155.27,60.18,-6.12
45,1073.0,197370.67,-76.03,5525.42,-165.87,60.11,10.4
46,1075.0,196365.31,-75.62,5828.94,-163.77,60.0,0.96
47,1076.0,196311.97,-75.61,5835.97,-163.66,60.0,-0.26
48,1078.0,193309.08,-75.93,5665.79,-157.11,59.98,8.98
49,1079.0,191841.8,-74.24,6907.07,-155.92,60.16,-7.7
50,1081.0,197345.26,-76.14,5444.16,-165.82,60.09,19.66
51,1082.0,196364.76,-75.62,5827.37,-163.77,60.01,0.86
52,1084.0,196324.67,-75.6,5839.28,-163.69,60.0,-0.45
53,1085.0,193576.05,-75.95,5643.29,-157.65,59.97,9.45
54,1087.0,191612.49,-74.21,6934.54,-155.55,60.16,-12.43
55,1088.0,197449.96,-76.14,5439.15,-166.05,60.08,21.7
56,1092.0,196360.55,-75.62,5828.89,-163.76,60.01,0.28
57,1093.0,196336.44,-75.6,5841.67,-163.72,60.0,-0.61
58,1095.0,193711.57,-75.95,5639.79,-157.94,59.96,7.88
59,1096.0,191551.34,-74.09,7021.03,-155.55,60.18,-16.13
60,1098.0,197335.04,-76.25,5362.22,-165.79,60.07,18.03
61,1099.0,196400.65,-75.63,5822.66,-163.84,60.0,0.86
